 # | obj tags |obj count|               raw id                |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |     spec. type     |#bib |#not
414|d         |        1|table:Star= HD 134439                |HD 134439                          |PM*|15 10 13.0873110544 -16 22 45.877317625|sd:K1Fe-1           | 317 |   0
415|d         |        1|table:Star= CL* NGC 5904 Arp III-03  |2MASS J15181867+0204327            |RG*|15 18 18.6760872648 +02 04 32.897627544|~                   |  51 |   0
416|d         |        1|table:Star= CL* NGC 5904 Arp IV-19   |2MASS J15183505+0201068            |RG*|15 18 35.0468206368 +02 01 06.901668264|~                   |  31 |   0
417|d         |        2|table:Star= HIP 75423                |LP 802-68                          |PM*|15 24 45.7511566260 -17 07 39.343095435|M2V                 |  26 |   0
418|d         |        1|table:Star= HD 138290                |HD 138290                          |*  |15 30 55.4332050912 +08 34 44.731399008|F2Vs                |  98 |   0
419|d         |        2|table:Star= HD 138776                |HD 138776                          |PM*|15 34 16.9187312400 -02 43 26.654623572|G6IV                |  52 |   0
420|d         |        2|table:Star= X Lib                    |V* X Lib                           |Mi*|15 36 12.7127986776 -21 09 03.903461532|M3                  |  30 |   0
421|d         |        1|table:Star= HD 140232                |* tau07 Ser                        |** |15 41 54.7165814280 +18 27 50.531406696|A8Vam               |  84 |   0
422|d         |        1|table:Star= HD 139717                |V* U Nor                           |cC*|15 42 20.9185773096 -55 18 42.939346104|F8Ib/II             | 137 |   0
423|d         |        2|table:Star= HD 140283                |HD 140283                          |Pe*|15 43 03.0971190219 -10 56 00.595693188|F9VkA5mA1           | 900 |   0
424|d         |        4|table:Star= HD 141531                |HD 141531                          |PM*|15 49 16.4993243976 +09 36 42.408069804|M1V                 |  65 |   0
425|d         |        1|table:Star= HD 142575                |HD 142575                          |PM*|15 55 02.8362076392 +05 04 12.164663892|F0                  |  70 |   0
426|d         |        1|table:Star= HD 142703                |V* HR Lib                          |dS*|15 56 33.3736378344 -14 49 45.972944112|A2Ib/II             | 112 |   0
427|d         |        1|table:Star= HD 143459                |* 50 Lib                           |HB*|16 00 47.6323225512 -08 24 40.889775888|A0V                 |  74 |   0
428|d         |        1|table:Star= HD 144172                |HD 144172                          |PM*|16 04 29.5910164416 +00 40 20.004479508|F3/5V               |  66 |   0
429|d         |        2|table:Star= HD 144921                |V* SX Her                          |RV*|16 07 27.2518832352 +24 54 29.935580580|KIIvw               |  78 |   0
430|d         |        1|table:Star= HD 147550                |HD 147550                          |*  |16 22 38.9052134400 -02 04 47.519268672|B9V                 | 106 |   0
